/**************************************************************************
 *** Layout File                                                        ***
 ***                                                                    ***
 *** This file is designed to provide the necessary information so      ***
 *** that NCES survey response data may be used in other statistical    ***
 *** software packages. This file provides variable names, locations,   ***
 *** and short descriptions for all selected variables. Additionally,   ***
 *** for categorical variables, this file also contains the response    ***
 *** codes and value label descriptions.                                ***
 ***                                                                    ***
 *** Full sample weights, replicate weights, and identification         ***
 *** numbers are added automatically to the list of variables selected  ***
 *** by the EDAT and are included here.                                 ***
 *************************************************************************/

/* ASCII Dataset File Name */
els_02_12_byf1sch

/* Total Record Length */
3561

/* Variable Names, Locations, and Descriptions */
SCH_ID         73-76         School ID
F1A42          1121-1126     Month and year completed interview
BYL01          1127-1128     How library is organized
BYL02          1129-1131     Library's total seating capacity
BYL03A         1132-1133     Library has individual activity areas
BYL03B         1134-1135     Library has small group activity areas
BYL03C         1136-1137     Library has large group activity areas
BYL03D         1138-1139     Library has staff work area
BYL03E         1140-1141     Library has conference rooms
BYL03F         1142-1143     Library has computer access area/lab
BYL04          1144-1145     Library can accommodate full class
BYL05          1146-1147     Library serves full class/other activity at once
BYL06AA        1148-1149     Staff includes state-certified librarians
BYL06AB        1150-1151     # full-time state-certified librarians
BYL06AC        1152-1153     # part-time state-certified librarians
BYL06BA        1154-1155     Library media center staff includes state-certified teachers
BYL06BB        1156-1157     # full-time state-certified teachers in library media center
BYL06BC        1158-1159     # part-time state-certified teachers in library media center
BYL06CA        1160-1161     Library media center staff includes uncertified professionals
BYL06CB        1-2           # full-time uncertified professionals in library media center
BYL06CC        3-4           # part-time uncertified professionals in library media center
BYL06DA        5-6           Staff includes paid library aides
BYL06DB        7-8           # full-time paid library aides
BYL06DC        9-10          # part-time paid library aides
BYL07          11-12         Volunteers provide library services
BYL08A         13-14         # of adult library volunteers
BYL08B         15-16         # of student library volunteers
BYL09          17-18         District has library media coordinator
BYL10          19-20         District library media coordinator is full-time
BYL11AA        21-22         Library has telephone
BYL11AB        23-24         Years library has had telephone
BYL11AC        25-26         Students may use telephone
BYL11AD        27-28         Faculty/staff may use telephone
BYL11AE        29-30         Library staff may use telephone
BYL11BA        31-32         Library has fax machine
BYL11BB        33-34         Years library has had fax machine
BYL11BC        35-36         Students may use fax machine
BYL11BD        37-38         Faculty/staff may use fax machine
BYL11BE        39-40         Library staff may use fax machine
BYL11CA        41-42         Library has photocopier
BYL11CB        43-44         Years library has had photocopier
BYL11CC        45-46         Students may use photocopier
BYL11CD        47-48         Faculty/staff may use photocopier
BYL11CE        49-50         Library staff may use photocopier
BYL11DA        51-52         Library has VCR
BYL11DB        53-54         Years library has had VCR
BYL11DC        55-56         Students may use VCR
BYL11DD        57-58         Faculty/staff may use VCR
BYL11DE        59-60         Library staff may use VCR
BYL11EA        61-62         Library has laser disc player
BYL11EB        63-64         Years library has had laser disc player
BYL11EC        65-66         Students may use laser disc player
BYL11ED        67-68         Faculty/staff may use laser disc player
BYL11EE        69-70         Library staff may use laser disc player
BYL11FA        71-72         Library has DVD player
BYL11FB        1162-1163     Years library has had DVD player
BYL11FC        1164-1165     Students may use DVD player
BYL11FD        1166-1167     Faculty/staff may use DVD player
BYL11FE        1168-1169     Library staff may use DVD player
BYL11GA        1170-1171     Library has electronic book reader
BYL11GB        1172-1173     Years library has had electronic book reader
BYL11GC        1174-1175     Students may use electronic book reader
BYL11GD        1176-1177     Faculty/staff may use electronic book reader
BYL11GE        1178-1179     Library staff may use electronic book reader
BYL11HA        1180-1181     Library has CD-ROM reader
BYL11HB        1182-1183     Years library has had CD-ROM reader
BYL11HC        1184-1185     Students may use CD-ROM reader
BYL11HD        1186-1187     Faculty/staff may use CD-ROM reader
BYL11HE        1188-1189     Library staff may use CD-ROM reader
BYL11IA        1190-1191     Library has personal computer
BYL11IB        1192-1193     Years library has had personal computer
BYL11IC        1194-1195     Students may use personal computer
BYL11ID        1196-1197     Faculty/staff may use personal computer
BYL11IE        1198-1199     Library staff may use personal computer
BYL11JA        1200-1201     Library has automated book circulation system
BYL11JB        1202-1203     Years library has had automated book circulation system
BYL11JC        1204-1205     Students may use automated book circulation system
BYL11JD        1206-1207     Faculty/staff may use automated book circulation system
BYL11JE        1208-1209     Library staff may use automated book circulation system
BYL11KA        1210-1211     Library has Internet access
BYL11KB        1212-1213     Years library has had Internet access
BYL11KC        1214-1215     Students may use Internet access
BYL11KD        1216-1217     Faculty/staff may use Internet access
BYL11KE        1218-1219     Library staff may use Internet access
BYL11LA        1220-1221     Library has cable TV
BYL11LB        1222-1223     Years library has had cable TV
BYL11LC        1224-1225     Students may use cable TV
BYL11LD        1226-1227     Faculty/staff may use cable TV
BYL11LE        1228-1229     Library staff may use cable TV
BYL11MA        1230-1231     Library has closed-circuit TV
BYL11MB        1232-1233     Years library has had closed-circuit TV
BYL11MC        1234-1235     Students may use closed-circuit TV
BYL11MD        1236-1237     Faculty/staff may use closed-circuit TV
BYL11ME        1238-1239     Library staff may use closed-circuit TV
BYL11NA        1240-1241     Library has video camera
BYL11NB        1242-1243     Years library has had video camera
BYL11NC        1244-1245     Students may use video camera
BYL11ND        1246-1247     Faculty/staff may use video camera
BYL11NE        1248-1249     Library staff may use video camera
BYL11OA        1250-1251     Library has satellite TV hook-up
BYL11OB        1252-1253     Years library has had satellite TV hookup
BYL11OC        1254-1255     Students may use satellite TV hookup
BYL11OD        1256-1257     Faculty/staff may use satellite TV hookup
BYL11OE        1258-1259     Library staff may use satellite TV hookup
BYL11PA        1260-1261     Library has audio equipment
BYL11PB        1262-1263     Years library has had audio equipment
BYL11PC        1264-1265     Students may use audio equipment
BYL11PD        1266-1267     Faculty/staff may use audio equipment
BYL11PE        1268-1269     Library staff may use audio equipment
BYL11QA        1270-1271     Library has videoconference equipment
BYL11QB        1272-1273     Years library had videoconference equipment
BYL11QC        1274-1275     Students may use videoconference equipment
BYL11QD        1276-1277     Faculty/staff may use videoconference equipment
BYL11QE        1278-1279     Library staff may use videoconference equipment
BYL11RA        1280-1281     Library has scanner
BYL11RB        1282-1283     Years library had scanner
BYL11RC        1284-1285     Students may use scanner
BYL11RD        1286-1287     Faculty/staff may use scanner
BYL11RE        1288-1289     Library staff may use scanner
BYL11SA        1290-1291     Library has LCD panel/projection device
BYL11SB        1292-1293     Years library had LCD panel/projection device
BYL11SC        1294-1295     Students may use LCD panel/projection device
BYL11SD        1296-1297     Faculty/staff may use LCD panel/projection device
BYL11SE        1298-1299     Library staff may use LCD panel/projection device
BYL11TA        1300-1301     Library has technology for disabled
BYL11TB        1302-1303     Years library has had technology for disabled
BYL11TC        1304-1305     Students may use technology for disabled
BYL11TD        1306-1307     Faculty/staff may use technology for disabled
BYL11TE        1308-1309     Library staff may use technology for disabled
BYL12A         1310-1311     Online catalog available
BYL12B         1312-1313     Other libraries' online catalogs available
BYL12C         1314-1315     Internet access available
BYL12D         1316-1317     E-mail/chat room access available
BYL12E         1318-1319     Reference/bibliography databases available
BYL12F         1320-1321     General articles/news databases available
BYL12G         1322-1323     College/career databases available
BYL12H         1324-1325     Academic subject databases available
BYL12I         1326-1327     Electronic books/journals/references/magazines available
BYL12J         1328-1329     Educational software available
BYL13          1330-1331     Library has multimedia production facility
BYL14A         1332-1333     Has interlibrary loan program with area high schools
BYL14B         1334-1335     Has interlibrary loan program with high schools in state
BYL14C         1336-1337     Has interlibrary loan program with public libraries
BYL14D         1338-1339     Has interlibrary loan program with the state library
BYL14E         1340-1341     Has interlibrary loan program with colleges/universities
BYL14F         1342-1343     Has other interlibrary loan program
BYL15          1344-1345     School participates in distance learning
BYL16A         1346-1347     2001 holdings-books
BYL16B         1348-1349     2001 holdings-video
BYL16C         1350-1351     2001 holdings-periodical subscriptions
BYL16D         1352-1353     2001 holdings-electronic database subscription
BYL17          1354-1355     Library has professional collection for teachers
BYL18          1356-1357     # of professional collection volumes bought 2000-2001 school year
BYL19          1358-1359     Total spent on computer hardware 2000-2001 school year
BYL20          1360-1361     When students may use library on own
BYL21A         1362-1363     Students may use library on own before/after school
BYL21B         1364-1365     Students may use library on own during lunch break
BYL21C         1366-1367     Students may use library on own during set times
BYL21D         1368-1369     Students may use library on own between class/recess
BYL21E         1370-1371     Students may use library on own at other time
BYL22A         1372-1373     How often library used for classes at same time
BYL22B         1374-1375     How often library used for one class only
BYL22C         1376-1377     How often library used for small groups
BYL23          1378-1379     How often library used for non-library activities
BYL24          1380-1381     How many students use library per week
BYL25          1382-1385     Total circulation per week
BYL26          1386-1387     Maximum # of books students may take out
BYL27A         1388-1389     Students may take out reference material
BYL27B         1390-1391     Students may take out periodicals
BYL27C         1392-1393     Students may take out AV materials
BYL27D         1394-1395     Students may take out AV equipment
BYL27E         1396-1397     Students may take out computer software
BYL27F         1398-1399     Students may take out computer hardware
BYL27G         1400-1401     Students may take out none of these
BYL28          1402-1403     Parents allowed to check out material
BYL29          1404-1405     Worked in this library during 2000-2001 school year
BYL30A         1406-1407     How often worked with English teachers
BYL30B         1408-1409     How often worked with math teachers
BYL31A         1410-1411     School-board has policy on use of Internet
BYL31B         1412-1413     School-board has copyright policy
BYL31C         1414-1415     School-board has materials selection policy
BYL31D         1416-1417     School-board has none of these policies
BYL32          1418-1419     School has library policy/procedure manual
BYL34          1420-1421     Library questionnaire respondent's title
BYL35          1422-1427     Date library questionnaire completed
BYF01A         1428-1429     Trash on front hallway floors
BYF01B         1430-1431     Overflowing trashcans in hallway
BYF01C         1432-1433     Broken lights in hallway
BYF01D         1434-1435     Graffiti on hallway walls/doors/ceiling
BYF01E         1436-1437     Graffiti on lockers in hallway
BYF01F         1438-1439     Visible fire/emergency alarms in hallway
BYF01G         1440-1441     Chipped paint in hallway
BYF01H         1442-1443     Hallway ceilings in disrepair
BYF01I         1444-1445     Visible safety exit signs in hallway
BYF01J         1446-1447     Hallway floor and walls appear clean
BYF02          1448-1449     Noise level of main entrance during class
BYF03A         1450-1451     Visitor check-in sign observed
BYF03B         1452-1453     Sign stating 'no drugs' observed
BYF03C         1454-1455     Sign stating 'no trespassing' observed
BYF03D         1456-1457     Sign stating 'no weapons' observed
BYF04A         1458-1459     Graffiti on bathroom walls and ceilings
BYF04B         1460-1461     Graffiti on bathroom stall doors/walls
BYF04C         1462-1463     Trash on bathroom floor
BYF04D         1464-1465     Overflowing trashcans in bathroom
BYF04E         1466-1467     Doors on all bathroom stalls
BYF04F         1468-1469     Students loitering in bathroom during class
BYF04G         1470-1471     Students smoking in bathroom during class
BYF05A         1472-1473     Locks on inside of classroom door
BYF05B         1474-1475     Classroom ceiling in disrepair
BYF05C         1476-1477     Broken lights in classroom
BYF05D         1478-1479     Graffiti on classroom walls/ceiling/doors
BYF05E         1480-1481     Graffiti on classroom desks
BYF05F         1482-1483     Trash on classroom floor
BYF05G         1484-1485     Overflowing trashcan in classroom
BYF05H         1486-1487     Classroom floor and walls appear clean
BYF05I         1488-1489     Posters or material on classroom windows
BYF05J         1490-1491     Bars on classroom windows
BYF05K         1492-1493     Classroom windows broken
BYF06A         1494-1495     Students wear ID badges
BYF06B         1496-1497     Teachers wear ID badges
BYF06C         1498-1499     Other personnel wear ID badges
BYF06D         1500-1501     Visitors wear ID badges
BYF07          1502-1503     School has parking lots
BYF08A         1504-1505     # entrances/exits to parking lots
BYF08B         1506-1507     # entrances/exits monitored by video
BYF08C         1508-1509     # entrances/exits monitored by guard
BYF08D         1510-1511     # entrances/exits locked during day
BYF09A         1512-1513     How much litter/trash in area around school
BYF09B         1514-1515     How much graffiti in area around school
BYF09C         1516-1517     How many boarded up buildings in area around school
BYF09D         1518-1519     How many people congregated in area around school
BYF09E         1520-1521     How many students loitering in area around school
BYF10A         1522-1523     Observed security guard
BYF10B         1524-1525     Observed metal detectors
BYF10C         1526-1527     Observed security cameras
BYF10D         1528-1529     Observed fencing around entire school
BYF10E         1530-1531     Observed sign-in policies
BYF10F         1532-1533     Observed adult direct guests to sign-in
BYF10G         1534-1535     Observed fire alarms
BYF10H         1536-1537     Observed fire extinguishers
BYF10I         1538-1539     Observed fire sprinklers
BYF10J         1540-1541     Observed exterior lights
BYF10K         1542-1543     Observed student lockers
BYF10L         1544-1545     Observed student uniforms
BYF10M         1546-1547     Observed signs-alarm if door opened

/* Variable Value Labels */
BY10FLP
   1 = "0-5 percent"
   2 = "6-10 percent"
   3 = "11-20 percent"
   4 = "21-30 percent"
   5 = "31-50 percent"
   6 = "51-75 percent"
   7 = "76-100 percent"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA04
   1 = "Differentiated courses/open with prereqs"
   2 = "Differentiated courses and grouping"
   3 = "Undifferentiated/open with prerequisites"
   4 = "Other"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA05
   1 = "High level of crime"
   2 = "Moderate level of crime"
   3 = "Low level of crime"
   4 = "Mixed levels of crime"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA06
   1 = "Semester system"
   2 = "Trimester system"
   3 = "Quarter system"
   4 = "Other"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA07
   -4 = "Nonrespondent"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA08
   3 = "3 periods"
   4 = "4 periods"
   5 = "5 periods"
   6 = "6 periods"
   7 = "7 periods"
   8 = "8 periods"
   9 = "9 periods"
   -4 = "Nonrespondent"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA09
   -4 = "Nonrespondent"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA10
   2 = "2 classes"
   3 = "3 classes"
   4 = "4 classes"
   5 = "5 classes"
   6 = "6 classes"
   7 = "7 classes"
   8 = "8 classes"
   9 = "9 classes"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA11
   1 = "Yes"
   2 = "No, all-female school"
   3 = "No, all-male school"
   -4 = "Nonrespondent"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA12A
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA12B
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -5 = "Out of range"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA12C
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA12D
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA12E
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA12F
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA12G
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA12H
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA12I
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA13
   1 = "Not notified"
   2 = "Sometime that morning"
   3 = "Sometime that day"
   4 = "After a day or two"
   5 = "Within first week"
   6 = "At end of term/semester"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA14A
   -4 = "Nonrespondent"
   -5 = "Out of range"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA14B
   -4 = "Nonrespondent"
   -5 = "Out of range"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA14C
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA14D
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA14E
   -4 = "Nonrespondent"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA14F
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA14G
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA14H
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA14I
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA14J
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA14K
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA15A
   1 = "No, students do not do this"
   2 = "Yes, some students do this"
   3 = "Yes, all students do this"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA15B
   1 = "No, students do not do this"
   2 = "Yes, some students do this"
   3 = "Yes, all students do this"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA15C
   1 = "No, students do not do this"
   2 = "Yes, some students do this"
   3 = "Yes, all students do this"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA16
   0 = "No"
   1 = "Yes"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17A
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17B
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17C
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17D
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17E
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17F
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17G
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17H
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17I
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17J
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17K
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17L
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17M
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17N
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17O
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17P
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17Q
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA17R
   1 = "Offered on site"
   2 = "Offered at area vocational school"
   3 = "Not offered"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -6 = "Multiple response"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA18A
   0 = "No"
   1 = "Yes"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA18B
   0 = "No"
   1 = "Yes"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA18C
   0 = "No"
   1 = "Yes"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA18D
   0 = "No"
   1 = "Yes"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA18E
   0 = "No"
   1 = "Yes"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA18F
   0 = "No"
   1 = "Yes"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA19AA
   0 = "No"
   1 = "Yes"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA19AB
   0 = "No"
   1 = "Yes"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA19BA
   0 = "No"
   1 = "Yes"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA19BB
   0 = "No"
   1 = "Yes"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA19CA
   0 = "No"
   1 = "Yes"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA19CB
   0 = "No"
   1 = "Yes"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA19DA
   0 = "No"
   1 = "Yes"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA19DB
   0 = "No"
   1 = "Yes"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA19EA
   0 = "No"
   1 = "Yes"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA19EB
   0 = "No"
   1 = "Yes"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA19FA
   0 = "No"
   1 = "Yes"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA19FB
   0 = "No"
   1 = "Yes"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA19GA
   0 = "No"
   1 = "Yes"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA19GB
   0 = "No"
   1 = "Yes"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
   -7 = "Partial interview-breakoff"
   -8 = "Survey component legitimate skip/NA"
   -9 = "Missing"
BYA19HA
   0 = "No"
   1 = "Yes"
   -3 = "Item legitimate skip/NA"
   -4 = "Nonrespondent"
